Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
mp181	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Gift of Sacred Armor		251	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		251	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		251	100	8						0
mp182	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Gift of Sacred Armor		251	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		251	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		251	100	8						0
mp183	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Gift of Sacred Armor		251	100	2													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		251	100	6											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		251	100	9						0
mp184	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Sati		152	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		152	100	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		152	100	1						0
mp185	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Snake Poison		53	25	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		53	50	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		53	75	8						0
mp186	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp187	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr92				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr92			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr92			1	1	0
mp188	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Bone Prison		88	10	7													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		88	10	11											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		88	10	14						0
mp189	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	poison		2	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		2	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		2	1	1						0
mp190	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	That Other VA Aura		282	1	1	pr205			68	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		282	5	5	pr205		68	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		282	8	8	pr205		68	1	1	0
mp191	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				10	10													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			30	30											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr114			50	50						0
mp192	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Gift of the Wild		513	15	1	pr114				40	40							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		513	15	5	pr114			60	60						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		513	15	8	pr114			80	80	0
mp193	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Tremor		612	15	50	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		612	15	54	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		612	15	57	pr201			1	1	0
mp194	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				10	10	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			15	15	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr114			20	20	pr201			1	1	0
mp195	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Famine Heal		504	25	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		504	33	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		504	50	8						0
mp196	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp197	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	red		91	1	1	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		91	1	1	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		91	1	1	pr201			1	1	0
mp198	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp199	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	necroshadowspirit		68	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		68	1	1						0
mp200	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	necroshadowspirit		68	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		68	1	1						0
mp201	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				50	50													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr114			150	150						0
mp202	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Pest Landmine		155	100	3													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		155	100	7											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		155	100	10						0
mp203	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Pest Landmine		155	100	4	pr171				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		155	100	8	pr171			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		155	100	11	pr171			75	75	0
mp204	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	necroshadowspirit		68	1	1	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		68	1	1	pr201			1	1	0
mp205	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp206	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Detonator Fireball		39	100	8	pr171				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		39	100	12	pr171			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		39	100	15	pr171			75	75	0
mp207	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Hypnotoad Prince		25	100	12	pr127	Dazzle Curse		72	100	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		25	100	16	pr127		72	100	5						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		25	100	19	pr127		72	100	8	0
mp208	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Poison Flash		396	50	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		396	50	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		396	50	8						0
mp209	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Poison Flash		396	50	3	pr186				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		396	50	7	pr186			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		396	50	10	pr186			75	75	0
mp210	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr482				100	100													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr482			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr482			100	100						0
mp211	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr475			5	5	pr4	2		75	75	pr201			1	1						0
mp212	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr475			5	5	pr4	2		75	75	pr201			1	1						0
mp213	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr475			5	5	pr4	2		75	75	pr201			1	1						0
mp214	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr475			5	5	pr4	2		75	75	pr201			1	1						0
mp215	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr186				50	50							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr186			100	100						pr470	75		75	75	pr127		483	100	1	pr475			5	5	pr4	2		75	75	pr201			1	1	pr186			200	200	0
mp216	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	devilish		216	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		216	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		216	1	1						0
mp217	IotSS regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	100	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	100	1						0
mp218	Tran Athulua regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		931	5	5	pr108			10	10	0
mp219	IotSS regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr90				127	127													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr90			127	127											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr90			127	127						0
mp220	IotSS regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr90				127	127	pr127	Spawn Nightmare		210	100	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr90			127	127	pr127		210	100	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr90			127	127	pr127		210	100	1	0
mp221	Duncraig regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp222	IotSS regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Weapon Amazing Grace Mod		84	25	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		84	25	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		84	25	1						0
mp223	Khalimgrad regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr197	Mon Super Gift of Inner Fire		539	100	22	pr198	Mon Weakening Nova		546	100	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr197		539	100	26	pr198		546	100	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr197		539	100	29	pr198		546	100	1						0
mp224	Fauztinville regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr96		25		400	400													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr96	50		400	400											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr96	75		400	400											0
mp225	Fauztinville regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr96		25		400	400													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr96	50		400	400											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr96	75		400	400											0
mp226	Fauztinville regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				33	33	pr201				3	3							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			66	66	pr201			3	3						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr114			99	99	pr201			3	3						0
mp227	Ureh regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				50	50	pr127	Bloodlust		313	15	5	pr205			96	1	1	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		313	15	9	pr205		96	1	1	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		313	15	12	pr205		96	1	1	0
mp228	Ureh regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr171				100	100	pr173				100	100							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		584	1	1	pr171			100	100	pr173			100	100	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr125		584	1	1	pr171			100	100						0
mp229	Ureh regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				50	50													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			50	50											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr57			50	50											0
mp230	Ureh regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				50	50	pr198	Item Shower of Rocks		595	25	5							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr198		595	25	8						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr198		595	25	7						0
mp231	Ureh regular	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Glacial Nova		459	100	15													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		459	100	19											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr198		459	100	22											0
mp232	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Baal Plasma Buff		45	100	1													pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr198		45	100	2											pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr198		45	100	3	pr126		783	10	1	0
mp233	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		989	1	33																pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75											0
mp234	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		989	1	33																pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75											0
mp235	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Bone Prison		88	10	7													pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr127		88	10	11											pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr127		88	10	14						0
mp236	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Uber Disco Inferno		543	100	4	pr198	Lower Resist		91	50	6							pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr198		543	100	8	pr198		91	50	10						pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr198		543	100	11	pr198		91	50	13	0
mp237	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Summon Darkwarden		725	10	1													pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr126		725	10	5											pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr126		725	10	8						0
mp238	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr205	fullsetgeneric		175	1	1							pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr201			1	1	pr205		175	1	1						pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr201			1	1	pr205		175	1	1	0
mp239	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Famine Heal		504	25	1													pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr127		504	33	5											pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr127		504	50	8						0
mp240	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Gift of the Wild		513	15	1	pr114				40	40							pr470	50		50	50	pr127		483	100	1	pr198		989	1	33	pr127		513	15	5	pr114			60	60						pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75	pr127		513	15	8	pr114			80	80	0
mp241	Baal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		989	1	33																pr470	75		75	75	pr127		483	100	1	pr198		989	1	33	pr4	2		75	75											0
mp242	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr174			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	10	1	pr174			150	150	0
mp243	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr88			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	10	1	pr60			1	1	0
mp244	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1	pr127	Item Shower of Rocks		595	10	6							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr127		595	10	16						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	20	1	pr127		595	50	29	0
mp245	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1	pr127	Parasite Item		101	15	2							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr127		101	25	12						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	10	1	pr127		101	50	25	0
mp246	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr171			25	25						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	5	1	pr171			50	50	0
mp247	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1	pr126	Spiral Proc		982	5	5							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr126		982	10	17						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	5	1	pr126		982	25	30	0
mp248	Elite	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1																0
mp249	Elite	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1																0
mp250	Elite	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1																0
mp251	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	20	1						0
mp252	Veterans	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	3	1	pr127	Flamestrike		453	25	49							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	4	1	pr127		453	25	53						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr88			75	75	pr369		84	20	1	pr127		453	25	56	0
mp253	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	necroshadowspirit		68	1	1	pr198	Item Deathstrikes		962	100	15							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1	pr198		962	100	19	pr198		989	100	50	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1	pr198		962	100	22						0
mp254	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				50	50	pr127	Bloodlust		96	15	3	pr126			697	25	5	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		96	15	7	pr126		697	25	15	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		96	15	10	pr126		697	25	25	0
mp255	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				50	50	pr127	Bloodlust		96	15	3	pr108				100	100	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		96	15	7	pr108			100	100	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr57			50	50	pr127		96	15	10	pr108			100	100	0
mp256	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				25	25	pr127	Meteor Shower		824	5	12							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			50	50	pr127		824	5	16	pr183			125	125	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr475			75	75	pr127		824	5	19	pr183			250	250	0
mp257	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				25	25	pr126	Untimered Fortress		804	20	15	pr171				25	25	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			50	50	pr126		804	20	19	pr171			50	50	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr475			75	75	pr126		804	20	22	pr171			75	75	0
mp258	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				25	25													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			50	50											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr475			75	75											0
mp259	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				25	25	pr114				50	50	pr127	Mon Respawner		485	100	1	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			50	50	pr114			75	75	pr127		485	100	1	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr475			75	75	pr114			100	100	pr127		485	100	1	0
mp260	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				25	25	pr127	Mon Respawner		783	50	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			50	50	pr127		783	50	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr475			75	75	pr127		783	50	1	pr125		281	1	1	0
mp261	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr108				10	10	pr92		50		1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr108			20	20	pr92	50		1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr108			30	30	pr92	50		1	1						0
mp262	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr108				10	10	pr92		50		1	1	pr114				25	25	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr108			20	20	pr92	50		1	1	pr114			50	50	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr108			30	30	pr92	50		1	1	pr114			75	75	0
mp263	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr369	Weapon Amazing Grace Mod		84	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr369		84	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr369		84	1	1											0
mp264	Boss or small uber minions	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Shield Aura		532	1	1	pr127	Fire Star		632	50	55	pr183				100	100	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		532	1	1	pr127		632	50	59	pr183			300	300	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr125		532	1	1	pr127		632	50	62	pr183			500	500	0
