index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
New3Plunderbird		1		4	1	120	100	45@ 		(Sacred) SSU						5	5000	cblu	cblu			so0		so0	pr133		3	3	pr388	51	51	51	pr29		251	300	pr121		2	2	pr117	900	5	5	pr59		71	80	pr238		11	15	pr140		200	400	pr58		201	300	pr65		19	23	pr66		19	23	pr135		1	1000	0
KrissSU3		1		1	1	120	100	45@ 		(Sacred) SSSU						5	5000	cred	cred			so0		so0	pr133		3	3	pr388		51	51	pr29		251	300	pr127	498	4	13	pr135		333	666	pr137		333	666	pr134		333	666	pr320		11	15	pr121		2	3	pr69		2	3	pr221		21	30	pr192		21	25	0
Wrathchild4		1		10	1	18	12	!49 		(Tier 1)						5	5000	dgry	dgry			so0		so0	pr133		2	2	pr387		102	102	pr29		41	80	pr28		61	120	pr57		-5	-5	pr108		3	5	pr223		21	25	pr71		1	1	pr114		3	5	pr58		31	50	pr479	147	50	1					0
Wrathchild4		1		10	1	34	22	!50 		(Tier 2)						5	5000	dgry	dgry			so0		so0	pr133		3	3	pr387		102	102	pr29		81	120	pr28		121	180	pr57		-10	-10	pr108		6	8	pr223		26	30	pr71		1	2	pr114		6	8	pr58		51	70	pr479	147	50	1					0
Wrathchild4		1		10	1	50	31	!51 		(Tier 3)						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr387		102	102	pr29		121	160	pr28		181	240	pr57		-15	-15	pr108		9	11	pr223		31	35	pr71		1	2	pr114		9	11	pr58		71	90	pr479	147	50	1					0
Wrathchild4		1		10	1	67	41	!52 		(Tier 4)						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr387		102	102	pr29		161	200	pr28		241	300	pr57		-20	-20	pr108		12	14	pr223		36	40	pr71		2	3	pr114		12	14	pr58		91	110	pr479	147	50	1					0
Wrathchild4		1		10	1	82	52	!53 		(Tier 5)						5	5000	dgry	dgry			so0		so0	pr133		5	5	pr387		102	102	pr29		201	240	pr28		301	360	pr57		-25	-25	pr108		15	17	pr223		41	45	pr71		2	3	pr114		15	17	pr58		111	130	pr479	147	50	1					0
Wrathchild4		1		10	1	90	60	!54 		(Tier 6)						5	5000	dgry	dgry			so0		so0	pr133		6	6	pr387		102	102	pr29		241	280	pr28		361	420	pr57		-30	-30	pr108		18	20	pr223		46	50	pr71		2	4	pr114		18	20	pr58		131	150	pr479	147	50	1					0
Yaggai's Sagaris		1		10	1	120	100	!55 		(Sacred) SU						5	5000	dyel	dyel			so0		so0	pr133		6	6	pr387		102	102	pr29		301	350	pr140		600	800	pr356		250	250	pr172		50	50	pr57		50	50	pr7		100	100	pr41		31	40	pr479	147	50	1	pr126	980	100	16	pr9		100	100	0
Wotansvolk		1		4	1	120	100	!55 		(Sacred) SSU						5	5000	blac	lgry			so0		so0	pr133		6	6	pr387		102	102	pr29		301	350	pr140		750	1000	pr220		125	125	pr126	680	25	38	pr479	147	50	1	pr172		100	100	pr7		250	250	pr234		250	250	pr9		250	250	pr197	1013	1	58	0
LabrysSU3		1		1	1	120	100	!55 		(Sacred) SSSU						5	5000	dred	dred		labrryss	so0		so0	pr133		6	6	pr387	102	102	102	pr204	392	5	15	pr205	189	1	1	pr29		301	350	pr28		600	800	pr71		1	1	pr57		50	50	pr192		50	100	pr181		1	1	pr479	147	50	1	pr484		1	1	0
Nightscape		1		10	1	7	4	8@G 		(Tier 1)						5	5000	dblu	dblu			so0		so0	pr133		2	2	pr5		21	40	pr81		5	5	pr87		15	15	pr11		101	150	pr369	563	1	6	pr269		11	15	pr267		11	15	pr185		11	15													0
Nightscape		1		10	1	21	13	9@G 		(Tier 2)						5	5000	dblu	dblu			so0		so0	pr133		3	3	pr5		41	60	pr81		10	10	pr87		20	20	pr11		151	200	pr369	563	1	9	pr269		16	20	pr267		16	20	pr185		16	20													0
Nightscape		1		10	1	36	22	1@H 		(Tier 3)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr5		61	80	pr81		15	15	pr87		25	25	pr11		201	250	pr369	563	1	12	pr269		21	25	pr267		21	25	pr185		21	25													0
Nightscape		1		10	1	50	30	2@H 		(Tier 4)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr5		81	100	pr81		20	20	pr87		30	30	pr11		251	300	pr369	563	1	15	pr269		26	30	pr267		26	30	pr185		26	30													0
Nightscape		1		10	1	65	39	3@H 		(Tier 5)						5	5000	dblu	dblu			so0		so0	pr133		5	5	pr5		101	120	pr81		25	25	pr87		35	35	pr11		301	350	pr369	563	1	18	pr269		31	35	pr267		31	35	pr185		31	35													0
Nightscape		1		10	1	79	48	4@H 		(Tier 6)						5	5000	dblu	dblu			so0		so0	pr133		6	6	pr5		121	140	pr81		30	30	pr87		40	40	pr11		351	400	pr369	563	1	21	pr269		36	40	pr267		36	40	pr185		36	40													0
Bartuc's Curse		1		10	1	120	100	5@H 		(Sacred) SU						5	5000	lred	lred			so0		so0	pr133		6	6	pr5		151	200	pr207		51	100	pr4		-25	-25	pr87		40	40	pr191		21	25	pr219		21	25	pr205	74	1	1	pr70		3	4	pr204	699	31	40	pr204	826	31	40	pr204	703	31	40	0
NewZhareshRobes		1		4	1	120	100	5@H 		(Sacred) SSU						5	5000	dyel	dyel			so0		so0	pr133		6	6	pr5		101	150	pr75		-40	-40	pr261		4	4	pr191		25	25	pr59		250	250	pr87		20	20	pr207		31	40	pr73		2	2													0
LamellarArmorSU3		1		1	1	120	100	5@H 		(Sacred) SSSU						5	5000	dblu	dblu			so0		so0	pr133		6	6	pr5		251	300	pr267		20	30	pr204	424	13	21	pr269		20	30	pr292		15	15	pr302		75	75	pr70		1	2	pr87		20	20	pr173		30	30	pr185		40	50					0
Heartrend		1		10	1	1	1	119 		(Tier 1)						5	5000	lred	lred			so0		so0	pr133		2	2	pr387		76	76	pr29		31	50	pr108		3	5	pr31		11	15	pr66		2	4	pr182	777	15	2	pr53		3	5																	0
Heartrend		1		10	1	14	9	187 		(Tier 2)						5	5000	lred	lred			so0		so0	pr133		3	3	pr387		76	76	pr29		51	70	pr108		6	8	pr31		16	20	pr66		5	7	pr182	777	20	4	pr53		6	8																	0
Heartrend		1		10	1	29	18	255 		(Tier 3)						5	5000	lred	lred			so0		so0	pr133		4	4	pr387		76	76	pr29		71	90	pr108		9	11	pr31		21	25	pr66		8	10	pr182	777	25	6	pr53		9	11																	0
Heartrend		1		10	1	43	28	323 		(Tier 4)						5	5000	lred	lred			so0		so0	pr133		4	4	pr387		76	76	pr29		91	110	pr108		12	14	pr31		26	30	pr66		11	13	pr182	777	30	8	pr53		12	14																	0
Heartrend		1		10	1	58	37	391 		(Tier 5)						5	5000	lred	lred			so0		so0	pr133		5	5	pr387		76	76	pr29		111	130	pr108		15	17	pr31		31	35	pr66		14	16	pr182	777	35	10	pr53		15	17																	0
Heartrend		1		10	1	73	46	459 		(Tier 6)						5	5000	lred	lred			so0		so0	pr133		6	6	pr387		76	76	pr29		131	150	pr108		18	20	pr31		36	40	pr66		17	19	pr182	777	40	12	pr53		18	20																	0
Demonsong		1		10	1	120	100	20@ 		(Sacred) SU						5	5000	cred	cred			so0		so0	pr133		6	6	pr387		76	76	pr29		201	250	pr145	96	96	96	pr126	134	50	16	pr31		51	75	pr192		51	75	pr143	192	192	192	pr57		40	40													0
New2GhoulLord		1		4	1	120	100	20@ 		(Sacred) SSU						5	5000	dblu	dblu			so0		so0	pr133		6	6	pr387		76	76	pr29		201	250	pr117	1289	100	100	pr267		41	50	pr7		31	40	pr10		31	40	pr201		1	1	pr4		5	5	pr65		14	18									0
LargeAxeSU3		1		1	1	120	100	20@ 		(Sacred) SSSU						5	5000	dgrn	dgrn			so0		so0	pr133		6	6	pr387		76	76	pr29		251	300	pr197	832	5	17	pr121		5	7	pr140		400	600	pr57		25	25	pr14		10	10	pr266		5	5	pr326		1	1	pr9		41	50	pr0		500	500	0
Wheel of Fortune		1		10	1	6	4	623 		(Tier 1)						5	5000	lblu	lblu			so0		so0	pr133		1	1	pr126	701	1	9	pr8		7	10	pr221		8	10	pr58		31	50	pr59		16	25	pr185		3	5	pr7		7	10																	0
Wheel of Fortune		1		10	1	21	13	669 		(Tier 2)						5	5000	lblu	lblu			so0		so0	pr133		2	2	pr126	701	1	18	pr8		11	14	pr221		11	13	pr58		51	70	pr59		26	35	pr185		6	8	pr7		11	14																	0
Wheel of Fortune		1		10	1	36	21	715 		(Tier 3)						5	5000	lblu	lblu			so0		so0	pr133		3	3	pr126	701	1	27	pr8		15	18	pr221		14	16	pr58		71	90	pr59		36	45	pr185		9	11	pr7		15	18																	0
Wheel of Fortune		1		10	1	50	30	761 		(Tier 4)						5	5000	lblu	lblu			so0		so0	pr133		3	3	pr126	701	1	36	pr8		19	22	pr221		17	19	pr58		91	110	pr59		46	55	pr185		12	14	pr7		19	22																	0
Wheel of Fortune		1		10	1	65	39	807 		(Tier 5)						5	5000	lblu	lblu			so0		so0	pr133		4	4	pr126	701	1	45	pr8		23	26	pr221		20	22	pr58		111	130	pr59		56	65	pr185		15	17	pr7		23	26																	0
Wheel of Fortune		1		10	1	80	48	853 		(Tier 6)						5	5000	lblu	lblu			so0		so0	pr133		4	4	pr126	701	1	54	pr8		27	30	pr221		23	25	pr58		131	150	pr59		66	75	pr185		18	20	pr7		27	30																	0
Chalice of Horrors		1		10	1	120	100	@24 		(Sacred) SU						5	5000	lgrn	lgrn			so0		so0	pr133		4	4	pr5		201	250	pr16		1	1	pr84		45	45	pr104		1	1	pr126	708	50	13	pr173		31	40	pr174		31	40	pr73		-2	-2	pr53		81	120	pr99		100	100					0
NewDryadbark		1		4	1	120	100	@24 		(Sacred) SSU						5	5000	lgrn	lgrn			so0		so0	pr133		6	6	pr5		251	300	pr140		50	150	pr117	1581	10	10	pr171		21	25	pr16		1	1	pr183		21	25	pr216		11	15	pr215		11	15	pr181		1	1									0
LargeShieldSU3		1		1	1	120	100	@24 		(Sacred) SSSU						5	5000	cgrn	cgrn			so0		so0	pr133		4	4	pr5		201	250					pr12		10	10	pr87		25	25	pr104		1	2	pr58		150	150	pr291		50	75	pr217		20	25	pr16		1	1	pr75		-10	-10	pr207		30	30	0
Acidblood		1		10	1	3	2	601 		(Tier 1)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		21	50	pr209		4	5	pr226		16	25	pr97		-11	-25	pr223		11	25	pr31		11	15	pr39		11	15																	0
Acidblood		1		10	1	15	9	647 		(Tier 2)						5	5000	lgrn	lgrn			so0		so0	pr133		3	3	pr5		51	80	pr209		6	7	pr226		26	35	pr97		-26	-40	pr223		26	40	pr31		16	20	pr39		16	20																	0
Acidblood		1		10	1	30	18	693 		(Tier 3)						5	5000	lgrn	lgrn			so0		so0	pr133		4	4	pr5		81	110	pr209		8	9	pr226		36	45	pr97		-41	-55	pr223		41	55	pr31		21	25	pr39		21	25																	0
Acidblood		1		10	1	45	27	739 		(Tier 4)						5	5000	lgrn	lgrn			so0		so0	pr133		4	4	pr5		111	140	pr209		10	11	pr226		46	55	pr97		-56	-70	pr223		56	70	pr31		26	30	pr39		26	30																	0
Acidblood		1		10	1	59	35	785 		(Tier 5)						5	5000	lgrn	lgrn			so0		so0	pr133		5	5	pr5		141	170	pr209		12	13	pr226		56	65	pr97		-71	-85	pr223		71	85	pr31		31	35	pr39		31	35																	0
Acidblood		1		10	1	75	45	831 		(Tier 6)						5	5000	lgrn	lgrn			so0		so0	pr133		6	6	pr5		171	200	pr209		14	15	pr226		66	75	pr97		-86	-100	pr223		86	100	pr31		36	40	pr39		36	40																	0
Runeflesh		1		10	1	120	100	@02 		(Sacred) SU						5	5000	lred	lred			so0		so0	pr133		6	6	pr5		151	200	pr66		21	24	pr226		201	400	pr57		40	40	pr371	451	20	17	pr230		100	100	pr31		100	100	pr370	789	20	17	pr108		15	15	pr14		11	15	pr182	96	50	10	0
New2BellyOfTheBeast		1		4	1	120	100	@02 		(Sacred) SSU						5	5000	cred	cred			so0		so0	pr133		6	6	pr5		201	250	pr204	777	13	16	pr204	566	22	24	pr14		20	20	pr4		5	5	pr117	1285	10	10	pr296		500	500	pr66		11	16	pr65		11	16	pr297		24	28					0
LeatherArmorSU3		1		1	1	120	100	@02 		(Sacred) SSSU						5	5000	blac	blac			so0		so0	pr133		6	6	pr204	324	20	25	pr96		250	300	pr215		15	20	pr216		15	20	pr3		150	150	pr104		1	2	pr52		50	75	pr4		15	15	pr41		30	45									0
Vilehand		1		10	1	1	1	632 	Leather Gloves	(Tier 1)						5	5000	cgrn	cgrn			so0		so0	pr133		1	1	pr24		8	16	pr25		17	32	pr26		75	75	pr186		3	5	pr262		3	5	pr88		2	5																					0
Vilehand		1		10	1	13	8	678 	Leather Gloves	(Tier 2)						5	5000	cgrn	cgrn			so0		so0	pr133		2	2	pr24		17	32	pr25		33	64	pr26		100	100	pr186		6	8	pr262		6	8	pr88		6	9																					0
Vilehand		1		10	1	28	17	724 	Leather Gloves	(Tier 3)						5	5000	cgrn	cgrn			so0		so0	pr133		2	2	pr24		33	64	pr25		65	128	pr26		125	125	pr186		9	11	pr262		9	11	pr88		10	13																					0
Vilehand		1		10	1	43	26	770 	Leather Gloves	(Tier 4)						5	5000	cgrn	cgrn			so0		so0	pr133		3	3	pr24		65	128	pr25		129	256	pr26		150	150	pr186		12	14	pr262		12	14	pr88		14	17																					0
Vilehand		1		10	1	57	34	816 	Leather Gloves	(Tier 5)						5	5000	cgrn	cgrn			so0		so0	pr133		3	3	pr24		129	256	pr25		257	512	pr26		175	175	pr186		15	17	pr262		15	17	pr88		18	21																					0
Vilehand		1		10	1	72	43	862 	Leather Gloves	(Tier 6)						5	5000	cgrn	cgrn			so0		so0	pr133		4	4	pr24		257	512	pr25		513	1024	pr26		200	200	pr186		18	20	pr262		18	20	pr88		22	25																					0
Geglash's Dusters		1		10	1	120	100	@33 	Leather Gloves	(Sacred) SU						5	5000	dred	dred			so0		so0	pr133		4	4	pr5		101	150	pr223		31	40	pr108		5	5	pr57		25	25	pr296		100	100	pr58		151	200	pr220		15	15																	0
BlackjadesLegacy		1		4	1	120	100	@33 	Leather Gloves	(Sacred) SSU						5	5000	blac	blac			so0		so0	pr133		4	4	pr5		201	250	pr183		31	40	pr186		31	40	pr122		2	2	pr13		250	250	pr126	712	2	9	pr134		500	1000	pr53		-500	-500	pr87		-40	-40									0
LeatherGlovesSU3_4		1		1	1	120	100	@33	Leather Gloves	(Sacred) SSSU						5	5000	whit	whit			so0		so0	pr133		4	4	pr117	1987	1	1	pr127	699	1	16	pr0		666	666	pr41		15	20	pr4		5	5	pr75		100	100	pr140		25	50	pr78		30	30													0
Wormtongue		1		10	1	5	3	628 		(Tier 1)						5	5000	lgrn	lgrn			so0		so0	pr133		1	1	pr5		31	50	pr8		11	15	pr96		31	50	pr66		2	4	pr24		17	32	pr25		33	64	pr26		25	25																	0
Wormtongue		1		10	1	20	12	674 		(Tier 2)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		51	70	pr8		16	20	pr96		51	70	pr66		5	7	pr24		33	64	pr25		65	128	pr26		50	50																	0
Wormtongue		1		10	1	34	21	720 		(Tier 3)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		71	90	pr8		21	25	pr96		71	90	pr66		8	10	pr24		65	128	pr25		129	256	pr26		75	75																	0
Wormtongue		1		10	1	48	29	766 		(Tier 4)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		91	110	pr8		26	30	pr96		91	110	pr66		11	13	pr24		129	256	pr25		257	512	pr26		100	100																	0
Wormtongue		1		10	1	64	38	812 		(Tier 5)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		111	130	pr8		31	35	pr96		111	130	pr66		14	16	pr24		257	512	pr25		513	1024	pr26		125	125																	0
Wormtongue		1		10	1	77	46	858 		(Tier 6)						5	5000	lgrn	lgrn			so0		so0	pr133		2	2	pr5		131	150	pr8		36	40	pr96		131	150	pr66		17	19	pr24		513	1024	pr25		1025	2048	pr26		150	150																	0
The Endless L		1		10	1	120	100	@29 		(Sacred) SU						5	5000	lblu	lblu			so0		so0	pr133		2	2	pr5		101	150	pr57		40	40	pr87		40	40	pr78		40	40	pr84		40	40	pr81		40	40	pr63		351	400	pr369	54	15	1													0
NewTldr		1		4	1	120	100	@29 		(Sacred) SSU						5	5000	dyel	dyel			so0		so0	pr133		2	2	pr13		500	500																																									0
LightBeltSU3		1		1	1	120	100	@29 		(Sacred) SSSU						5	5000	blac	blac			so0		so0	pr133		2	2	pr5		151	200	pr104		1	2	pr207		21	30	pr41		21	25	pr81		30	30	pr73		1	5	pr10		40	50	pr291		51	60	pr87		25	25	pr13		100	100					0
Runeshatter		1		10	1	5	3	l52 		(Tier 1)						5	5000	dblu	dblu			so0		so0	pr133		2	2	pr387		51	51	pr29		21	40	pr213		21	25	pr7		11	15	pr197	474	2	6	pr98		51	75																					0
Runeshatter		1		10	1	20	13	l56 		(Tier 2)						5	5000	dblu	dblu			so0		so0	pr133		3	3	pr387		51	51	pr29		41	60	pr213		26	30	pr7		16	20	pr197	474	2	12	pr98		76	100																					0
Runeshatter		1		10	1	35	22	l60 		(Tier 3)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr387		51	51	pr29		61	80	pr213		31	35	pr7		21	25	pr197	474	3	18	pr98		101	125																					0
Runeshatter		1		10	1	49	31	l64 		(Tier 4)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr387		51	51	pr29		81	100	pr213		36	40	pr7		26	30	pr197	474	3	24	pr98		126	150																					0
Runeshatter		1		10	1	64	40	l68 		(Tier 5)						5	5000	dblu	dblu			so0		so0	pr133		5	5	pr387		51	51	pr29		101	120	pr213		41	45	pr7		31	35	pr197	474	4	30	pr98		151	175																					0
Runeshatter		1		10	1	78	50	l72 		(Tier 6)						5	5000	dblu	dblu			so0		so0	pr133		6	6	pr387		51	51	pr29		121	140	pr213		46	50	pr7		36	40	pr197	474	4	36	pr98		176	200																					0
Razorjack		1		10	1	120	100	76@ 		(Sacred) SU						5	5000	dyel	dyel			so0		so0	pr133		6	6	pr387		51	51	pr29		151	200	pr127	347	15	9	pr107		16	20	pr97		-250	-250	pr57		50	50	pr190		21	25	pr206		31	40	pr140		150	250	pr104		2	3					0
NewAlHazirsQuillholder		1		4	1	120	100	76@ 		(Sacred) SSU						5	5000	dgrn	dgrn			so0		so0	pr133		6	6	pr387		51	51	pr29		201	250	pr140		150	300	pr191		20	20	pr127	467	5	49	pr174		41	50	pr138	500	4000	8000	pr90		2	2	pr4		5	5	pr88		75	75					0
LightCrossbowSU3		1		1	1	120	100	76@ 		(Sacred) SSSU						5	5000	dgrn	dgrn			so0		so0	pr133		6	6	pr387		51	51	pr29		201	250	pr108		31	40	pr222		101	150	pr140		200	600	pr75		-100	-100	pr57		20	20	pr78		50	50	pr59		201	250	pr219		21	30					0
Vicegrip		1		10	1	11	6	635 		(Tier 1)						5	5000	dgry	dgry			so0		so0	pr133		1	1	pr126	500	5	1	pr107		7	10	pr97		-21	-50	pr28		11	15	pr215		4	5																									0
Vicegrip		1		10	1	25	15	681 		(Tier 2)						5	5000	dgry	dgry			so0		so0	pr133		2	2	pr126	500	6	3	pr107		11	14	pr97		-51	-80	pr28		16	20	pr215		6	7																									0
Vicegrip		1		10	1	40	24	727 		(Tier 3)						5	5000	dgry	dgry			so0		so0	pr133		2	2	pr126	500	7	5	pr107		15	18	pr97		-81	-110	pr28		21	25	pr215		8	9																									0
Vicegrip		1		10	1	54	33	773 		(Tier 4)						5	5000	dgry	dgry			so0		so0	pr133		3	3	pr126	500	8	7	pr107		19	22	pr97		-111	-140	pr28		26	30	pr215		10	11																									0
Vicegrip		1		10	1	69	41	819 		(Tier 5)						5	5000	dgry	dgry			so0		so0	pr133		3	3	pr126	500	9	9	pr107		23	26	pr97		-141	-170	pr28		31	35	pr215		12	13																									0
Vicegrip		1		10	1	83	50	865 		(Tier 6)						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr126	500	10	11	pr107		27	30	pr97		-171	-200	pr28		36	40	pr215		14	15																									0
Lorekeeper		1		10	1	120	100	@36 		(Sacred) SU						5	5000	lgrn	lgrn			so0		so0	pr133		4	4	pr5		151	200	pr217		21	25	pr41		41	50	pr207		31	40	pr369	386	5	9	pr75		-50	-50	pr87		15	15																	0
BaronSludgeBonecrusher		1		4	1	120	100	@36 		(Sacred) SSU						5	5000	dred	dred			so0		so0	pr133		4	4	pr28		101	150	pr57		30	30	pr296		500	1000	pr220		125	125	pr356		100	100	pr93		50	50	pr4		8	8																	0
LightGauntletsSU3		1		1	1	120	100	@36 		(Sacred) SSSU						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr5		251	300	pr126	500	20	13	pr108		11	15	pr42		2	2	pr219		11	15	pr104			1																					0
Dragon's Blood		1		10	1	13	8	611 		(Tier 1)						5	5000	lred	lred			so0		so0	pr133		2	2	pr5		41	80	pr9		31	35	pr111		16	25	pr98		31	50	pr126	76	5	4	pr206		11	15	pr183		11	15	pr87		15	15													0
Dragon's Blood		1		10	1	27	16	657 		(Tier 2)						5	5000	lred	lred			so0		so0	pr133		3	3	pr5		81	120	pr9		36	40	pr111		26	35	pr98		51	70	pr126	76	7	9	pr206		16	20	pr183		16	20	pr87		20	20													0
Dragon's Blood		1		10	1	42	25	703 		(Tier 3)						5	5000	lred	lred			so0		so0	pr133		4	4	pr5		121	160	pr9		41	45	pr111		36	45	pr98		71	90	pr126	76	9	14	pr206		21	25	pr183		21	25	pr87		25	25													0
Dragon's Blood		1		10	1	57	34	749 		(Tier 4)						5	5000	lred	lred			so0		so0	pr133		4	4	pr5		161	200	pr9		46	50	pr111		46	55	pr98		91	110	pr126	76	11	19	pr206		26	30	pr183		26	30	pr87		30	30													0
Dragon's Blood		1		10	1	71	43	795 		(Tier 5)						5	5000	lred	lred			so0		so0	pr133		5	5	pr5		201	240	pr9		51	55	pr111		56	65	pr98		111	130	pr126	76	13	24	pr206		31	35	pr183		31	35	pr87		35	35													0
Dragon's Blood		1		10	1	85	51	841 		(Tier 6)						5	5000	lred	lred			so0		so0	pr133		6	6	pr5		241	280	pr9		56	60	pr111		66	75	pr98		131	150	pr126	76	15	29	pr206		36	40	pr183		36	40	pr87		40	40													0
Huo Zhi Wang		1		10	1	120	100	@12 		(Sacred) SU						5	5000	cred	cred			so0		so0	pr133		6	6	pr5		251	300	pr0		401	500	pr31		100	100	pr57		25	25	pr183		31	40	pr28		151	200	pr197	518	25	7	pr199	564	100	22	pr58		101	150	pr104		1	2	pr182	1003	25	31	0
NewHellbourneDisciple		1		4	1	120	100	@12 		(Sacred) SSU						5	5000	dpur	dpur			so0		so0	pr133		6	6	pr5		201	250	pr97		-250	-250	pr126	443	40	15	pr126	963	5	25	pr184		41	50	pr62		25	25	pr140		100	100	pr105		250	250	pr208		15	15	pr461		100	100	pr78		20	20	0
LightPlateSU3		1		1	1	120	100	@12 		(Sacred) SSSU						5	5000	blac	blac			so0		so0	pr133		6	6	pr5		251	300	pr0		200	200	pr181		1	1	pr1		500	500	pr52		50	88	pr128	346	10	3	pr204	356	6	10	pr57		30	30	pr4		10	10									0
Zealot Rush		1		10	1	10	6	640 	Light Plated Boots	(Tier 1)						5	5000	lgld	lgld			so0		so0	pr133		1	1	pr5		31	50	pr216		3	5	pr96		11	25	pr78		5	5	pr57		5	5	pr117	928	1	2																					0
Zealot Rush		1		10	1	25	15	686 	Light Plated Boots	(Tier 2)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		51	70	pr216		6	8	pr96		26	40	pr78		5	5	pr57		5	5	pr117	928	3	4																					0
Zealot Rush		1		10	1	39	24	732 	Light Plated Boots	(Tier 3)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		71	90	pr216		9	11	pr96		41	55	pr78		10	10	pr57		10	10	pr117	928	5	6																					0
Zealot Rush		1		10	1	54	32	778 	Light Plated Boots	(Tier 4)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		91	110	pr216		12	14	pr96		56	70	pr78		10	10	pr57		10	10	pr117	928	7	8																					0
Zealot Rush		1		10	1	68	41	824 	Light Plated Boots	(Tier 5)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		111	130	pr216		15	17	pr96		71	85	pr78		15	15	pr57		15	15	pr117	928	9	10																					0
Zealot Rush		1		10	1	83	50	870 	Light Plated Boots	(Tier 6)						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		131	150	pr216		18	20	pr96		86	100	pr78		15	15	pr57		15	15	pr117	928	11	12																					0
Akarat's Trek		1		10	1	120	100	@41 	Light Plated Boots	(Sacred) SU						5	5000	lblu	lblu			so0		so0	pr133		4	4	pr5		151	200	pr223		150	150	pr219		10	10	pr73		2	2	pr370	541	10	13	pr99		151	200	pr53		100	100																	0
NewEarth4		1		4	1	120	100	@41 	Light Plated Boots	(Sacred) SSU						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr5		201	250	pr204	901	30	33	pr206		41	50	pr78		20	20	pr7		41	60	pr3		25	25	pr181		1	1	pr198	612	100	56	pr222		21	25									0
LightPlatedBootsSU3_2		1		1	1	120	100	@41	Light Plated Boots	(Sacred) SSSU						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr5		251	300	pr198	486	100	23	pr197	950	1	13	pr28		100	150	pr66		10	10	pr65		10	10	pr219		10	10	pr75		-20	-20	pr78		30	30									0
Darkplague		1		10	1	10	6	165 		(Tier 1)						5	5000	dgrn	dgrn			so0		so0	pr133		2	2	pr388	51	51	51	pr29		51	80	pr127	542	10	2	pr174		21	25	pr127	811	5	6	pr39		21	25	pr75		-6	-10	pr297		3	6	pr223		31	50									0
Darkplague		1		10	1	25	16	233 		(Tier 2)						5	5000	dgrn	dgrn			so0		so0	pr133		3	3	pr388	51	51	51	pr29		81	110	pr127	542	12	4	pr174		26	30	pr127	811	6	12	pr39		26	30	pr75		-11	-15	pr297		7	10	pr223		51	70									0
Darkplague		1		10	1	39	25	301 		(Tier 3)						5	5000	dgrn	dgrn			so0		so0	pr133		4	4	pr388	51	51	51	pr29		111	140	pr127	542	14	6	pr174		31	35	pr127	811	7	18	pr39		31	35	pr75		-16	-20	pr297		11	14	pr223		71	90									0
Darkplague		1		10	1	54	34	369 		(Tier 4)						5	5000	dgrn	dgrn			so0		so0	pr133		4	4	pr388	51	51	51	pr29		141	170	pr127	542	16	8	pr174		36	40	pr127	811	8	24	pr39		36	40	pr75		-21	-25	pr297		15	18	pr223		91	110									0
Darkplague		1		10	1	68	43	437 		(Tier 5)						5	5000	dgrn	dgrn			so0		so0	pr133		5	5	pr388	51	51	51	pr29		171	200	pr127	542	18	10	pr174		41	45	pr127	811	9	30	pr39		41	45	pr75		-26	-30	pr297		19	22	pr223		111	130									0
Darkplague		1		10	1	83	52	505 		(Tier 6)						5	5000	dgrn	dgrn			so0		so0	pr133		6	6	pr388	51	51	51	pr29		201	230	pr127	542	20	12	pr174		46	50	pr127	811	10	36	pr39		46	50	pr75		-31	-35	pr297		23	26	pr223		131	150									0
