skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Laz / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd372	1	2	1	1		1.B9 NEW ROW	102	SkillnameLolflame	SkillsdLolflame	SkillsdLolflame	SkillnameLolflame																							3	ModStre10e	DescLifePerSecLF	(edmx*25)/256		5	DescRegenLF		edmx																	2	DescBlank	DescLifePerBerry	par1+(blvl*blvl)*2		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	ThisIsFire				40	SksynSelf	SkillnameLolflame	4		65	DescSelf	DescLivingFlameSyn			18	DescSelfSynergy																								0
sd373	1	3	1	1			4	SkillnameFlames	SkillsdFlames	SkillsdFlames	SkillnameFlames	StrSkill3	5																1					38	DescTotalStrike	DescTotalLC2	(((edmn*(25+(lvl-1)*3))/4)*(100+stat('is329'.accr)))/100	(((edmx*(25+(lvl-1)*3))/4)*(100+stat('is329'.accr)))/100	10																				12	StrSkill20		25		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	18	ThisIsFire				40	Sksyn	SkillnameFlames	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd374	1	4	1	1			68	SkillnameHereItComes	SkillsdHereItComes	SkillsdHereItComes	SkillanHereItComes	StrSkill3	9													ml1694			1					29					27																														73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	18	ThisIsFire				40	Sksyn	SkillnameHereItComes	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd375	1	5	1	1		1.B9 LINEAR	106	SkillnameFiredance	SkillsdFiredance	SkillsdFiredance	SkillnameFiredance	StrSkill3																	1					2	StrSkill4	StrSkill23	edmn		2	StrSkill75	StrSkill23	edmx		19	StrSkill18		(7+lvl)*2												12	DescDelayZ		max(125-blvl*5,0)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	18	ThisIsFire				40	SksynSelf	SkillnameFiredance	4		65	DescSelf	DescTimerLossX								18	DescSelfSynergy																			0
sd376	1	1	3	1			70	SkillnameColdBlood	SkillsdColdBlood	SkillsdColdBlood	SkillanColdBlood2	StrSkill3	5																1					19	StrSkill18		min(ln34,12)+3		12	StrSkill20		(par1*(100+stat('is409'.accr)))/100		7	DescSecretMsc		(stat('is3'.base)==70)?666:0		38	StrSkill6	DescBlank	((edmn*(100+stat('is331'.accr)))/100)*8	((edmx*(100+stat('is331'.accr)))/100)*8																73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	18	ThisIsCold				40	Sksyn	SkillnameColdBlood	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd377	1	2	3	1			10	SkillnameFrigidSphere	SkillsdFrigidSphere	SkillsdFrigidSphere	SkillnameFrigidSphere	StrSkill3	5																1					10																				18	DescDmgDist				18	DescMoreAtPB				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	ThisIsCold				40	Sksyn	SkillnameFrigidSphere	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd378	1	3	3	1			110	SkillnameIceBitch	SkillsdIceBitch	SkillsdIceBitch	SkillnameIceBitch																							6	DescDefenzor		edmx																						3	StrSkill100	StrSkill23	min(blvl,25)+5		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	18	ThisIsCold				40	SksynSelf	SkillnameIceBitch	4		65	DescSelf	DescVengefulSyn			18	DescVengefulCap				63	DescSelf	DescImprovedQueenSlow	par4		18	DescSelfSynergy														0
sd379	1	4	3	1			16	SkillnameAbysmal	SkillsdAbysmal2	SkillsdAbysmal2	SkillnameAbysmal	StrSkill3	5																1					18	DescAbyssPerHit				11					10															12	StrSkill20		75		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	18	ThisIsCold				40	Sksyn	SkillnameAbysmal	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd380	1	5	3	1		1.B9 CONSOLIDATED SYNERGIES/NEW BONUSES	18	SkillnameIceElem	SkillsdIceElem	SkillsdIceElem	SkillanIceElemental	StrSkill3																	1										35	DescSummonDmg		((1+pst3)*(100+ast6))/100	((11+pst3)*(100+ast6))/100	3	DescPainless	DescHitPointz	((1+pst1/256)*(100+clc1))/100		5	StrSkill22		(100*(100+(((lvl-1)*150)*(100+stat('is500'.accr)))/100))/100		5	DescElementals		min(4+lvl,25)							18	DescIceAura2				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	18	ThisIsCold				40	Sksyn	SkillnameIceElem	4		63	SkillnameColdBlood	DescDmgPLvl	15		63	SkillnameFrigidSphere	DescLifeSyn	15		18	DescAnyPassiveInSorc																			0
sd381	1	1	2	1			64	SkillnameAeriaIHateYou	SkillsdAeriaIHateYou	SkillsdAeriaIHateYou	SkillanFLTNGZ	StrSkill3	5																1					18	DescMultiHits				10										7	DescSparklies		min(5+lvl/3,10)																	73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	18	ThisIsLightning				40	Sksyn	SkillnameAeriaIHateYou	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd382	1	2	2	1			22	SkillnameThunderstoneGo	skillsdThunderstoneGo	skillsdThunderstoneGo	SkillnameThunderstoneGo	StrSkill3	5																1					10																																			73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	ThisIsLightning				40	Sksyn	SkillnameThunderstoneGo	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd383	1	3	2	1			90	SkillnameNewLC2	SkillsdNewLC	SkillsdNewLC	SkillnameNewLC2	StrSkill3	5																1					10					18	DescMultiHits				3	StrSkill72	StrSkill27	min(6+lvl/4,10)												19	DescTargetComp		20		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	18	ThisIsLightning				40	Sksyn	SkillnameNewLC2	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd384	1	4	2	1		1.B9 NOW HARD POINTS	66	SkillnameMageArmor2	SkillsdMageArmor	SkillsdMageArmor	SkillnameMageArmor2																		1					3	DescACBonus	StrSkill23	ln12																						3	DescTrackAvoid	StrSkill23	min(par7+blvl/par8,50)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	18	ThisIsLightning				40	SksynSelf	SkillnameMageArmor	4		65	DescSelf	DescMiniAvoid			18	DescSelfSynergy																								0
sd385	1	5	2	1			73	SkillnameNovaCharge	SkillsdNovaCharge	SkillsdNovaCharge	SkillanNovaCharge	StrSkill3	5																1					12	StrSkill20		(ln56*(100+stat('is409'.accr)))/100		18	DescMultiHits				10										18	DescDmgDist				18	DescZapZapZapZap				18	DescBlankNovaChargeBuff				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	18	ThisIsLightning				40	Sksyn	SkillnameNovaCharge	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd386	2	1	1	2			88	SkillnameLorenado	SkillsdLorenado	SkillsdLorenado	SkillnameLorenado	StrSkill3	5																1					14																				5	DescTornadoes!		1+lvl/10												73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	18	ThisIsPoison				40	Sksyn	SkillnameLorenado	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd387	2	2	1	2			112	SkillnameVPower	SkillsdVPower	SkillsdVPower	SkillnameVPower																							18	DescVengefulWindow				2	DescAllSD	DescPctVengeful	5*lvl																	2	DescCrushThs	StrSkill23	min(par1*blvl,70)+5		18	DescBlankVengeful				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	ThisIsPoison				40	SksynSelf	SkillnameVPower	4		63	DescSelf	DescCrushQueenSyn	par1		18	DescCrushQueenCap				18	DescSelfSynergy																			0
sd388	2	3	1	2		1.B9 NEW ICON	108	SkillnameNewHex	SkillsdNewHex	SkillsdNewHex	SkillnameNewHex	StrSkill3	5																1					14																									12	DescHauntDurI		((25+stat('is211'.accr))*(100+stat('is391'.accr)))/100		18	DescHauntedEnemy				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	18	ThisIsPoison				40	Sksyn	SkillnameNewHex	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd389	2	4	1	2			82	SkillnameSpiderWaves	SkillsdSpiderWaves	SkillsdSpiderWaves	SkillanSpiderWaves	StrSkill3	5																1					14																									7	DescSpidersEmitted		100		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	18	ThisIsPoison				40	Sksyn	SkillnameSpiderWaves	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd390	2	5	1	2			38	SkillnameBzzzzzzzzzzzzz	SkillsdBzzzzzzzzzzzzz	SkillsdBzzzzzzzzzzzzz	SkillnameBzzzzzzzzzzzzz	StrSkill3	5																1					12	StrSkill20		(ln56*(100+stat('is409'.accr)))/100		14																				18	DescBzzBzzBzzBzz				18	DescBlankSwarmBuff				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	18	ThisIsPoison				40	Sksyn	SkillnameBzzzzzzzzzzzzz	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd391	2	1	3	2		new skill	40	SkillnameQQSkill	SkillsdQQSkill	SkillsdQQSkill	SkillnameQQSkill	StrSkill3	7	clc1											1				1					12	StrSkill20		(ln12*(100+stat('is409'.accr)))/100		2	StrSkill100	StrSkill23	min(ln78,35)		2	StrSkill4	DescPctToAtt	clc1												2	StrSkill4	DescToDur	par5+(blvl-1)*par6		66	Convphy2elemalt		clc4		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	SksynSelf	SkillnameQQSkill	4		63	DescSelf	DescOnlyPct2	par6		18	DescSelfSynergy																								0
sd392	2	2	2	2			98	SkillnameSorcFamiliar	SkillsdSorcFamiliar	SkillsdSorcFamiliar	SkillanSorcFamiliar	StrSkill3																	1					35	DescSummonDmg		((1+pst2)*(100+((stat('is470'.accr)+stat('is1'.base))*(100-stat('is379'.accr)))/100))/100	((2+pst2)*(100+((stat('is470'.accr)+stat('is1'.base))*(100-stat('is379'.accr)))/100))/100																					2	DescDevilsRiteSlvls	DescDevilsRiteSlvls2	1+blvl/4		18	DescCatStack				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameSorcFamiliar	4		65	strchrenghard	DescCatDmgSyn			18	DescBlank				40	SksynSelf	SkillnameSorcFamiliar	4		65	DescSelf	DescCatAuraSynB			18	DescSelfSynergy									0
sd393	2	3	2	2		1.B9 INVERTED	44	SkillnameArcTorrent	SkillsdArcTorrent3	SkillsdArcTorrent3	SkillnameArcTorrent	StrSkill3	5																1					18	DescFeedbackCap				38	StrSkill39	DescArcaneTorrent	10+(lvl-1)*1	20+(lvl-1)*2	38	StrSkill4	DescArcanePhysComponent	10+(lvl-1)*1	15+(lvl-1)*5																										73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)																																				0
sd394	2	4	2	2		1.B9 NO TIMER	46	SkillnameManaSweep	SkillsdManaSweep	SkillsdManaSweep	SkillnameManaSweep	StrSkill3	5																1					18	DescFeedbackCap				38	DescFeedback	DescManaSweepLost	100+(lvl-1)*2	150+(lvl-1)*2																38	DescSteals	DescFixedMP	50	100	12	DescDelayZ		max(100-blvl*10,0)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	SksynSelf	SkillnameManaSweep	4		65	DescSelf	DescTimerLossLeg			18	DescSelfSynergy																								0
sd395	2	5	3	2		1.B9 MOVED ROW, REDUCED DMG	104	SkillnameBladestorm	SkillsdBladestorm	SkillsdBladestorm	SkillnameBladestorm	StrSkill3	5												1				1					66	Convphy2elemalt		max(50,80-(lvl-1))		6	DescStopReadingThis		edmx																						73	WeapDamsk		1	3	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)																																				0
sd396								SkillnameAvatar	SkillsdAvatar	SkillsdAvatar	SkillnameAvatar	StrSkill3	5																1					10																														12	DescDelayZ		125		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameAvatar	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd397								SkillnameBanish	SkillsdBanish	SkillsdBanish	SkillnameBanish	StrSkill3																	1					12	StrSkill20		(ln34*(100+stat('is409'.accr)))/100		19	StrSkill18		ln12		2	StrSkill100	StrSkill23	-1*dm56																											18	DescItemSkill																																							0
sd398								SkillnameBlastWave	SkillsdBlastWave	SkillsdBlastWave	SkillnameBlastWave	StrSkill3	5																1					3	DescHits	DescTimes	6		10					9					8										12	DescDelayZ		375		12	StrSkill48		25		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameBlastWave	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd399								SkillnameDemSpeed	SkillsdDemSpeed	SkillsdDemSpeed	SkillnameDemSpeed	StrSkill3																	1					12	StrSkill20		(ln12*(100+stat('is409'.accr)))/100		2	StrSkill70	StrSkill23	ln34																																18	DescItemSkill																																							0
sd400								SkillnameFireCascade	SkillsdFireCascade	SkillsdFireCascade	SkillnameFireCascade	StrSkill3	5																1					19	DescTargetComp		dm78		10																									3	DescUpTo	DescFireballs	par1		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameFireCascade	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd401								SkillnamePanda2	SkillsdPanda	SkillsdPanda	SkillnamePanda2	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnamePanda	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd402								SkillnamePossess	SkillsdPossess	SkillsdPossess	SkillnamePossess	StrSkill3																	1					19	StrSkill18		ln78		12	DescDelayZ		max(525-25*(lvl-1),250)																						12	StrSkill20		par3		18	DescBlank				18	DescItemSkill																																							0
sd403								SkillnameRavenFlight	SkillsdRavenFlight	SkillsdRavenFlight	SkillnameRavenFlight	StrSkill3	5																1					12	StrSkill20		50+(((lvl-1)*5)		10																				12	DescDelayZ		150		12	StrSkill48		5		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameRavenFlight	4		65	strchrenghard	DescMagSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd404								SkillnameRavenHeart	SkillsdRavenHeart	SkillsdRavenHeart	SkillnameRavenHeart	StrSkill3																	1					2	StrSkill6	StrSkill23	dm34																						12	DescSuckAll		(par8*(100+stat('is409'.accr)))/100		12	StrSkill20		((par8+stat('-1'.accr))*(100+stat('is409'.accr)))/100		18	DescBlank				18	DescItemSkill																																							0
sd405								SkillnameShackles	SkillsdShackles	SkillsdShackles	SkillanShackles	StrSkill3																	1					12	StrSkill20		(ln12*(100+stat('is409'.accr)))/100																											19	StrSkill18		2		18	DescBlank				18	DescItemSkill																																							0
sd406								SkillnameTyphoonS	SkillsdTyphoonS	SkillsdTyphoonS	SkillanTyphoonS	StrSkill3																	1					10					12	DescDelayZ		140-dm12																	12	StrSkill48		25		12	StrSkill20		125		18	DescBlank				18	DescItemSkill																																							0
sd407								SkillnameIceBoltNova	SkillsdIceBoltNova	SkillsdIceBoltNova	SkillanIceBoltNova	StrSkill3	5																1					11					10					9																									18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameIceBoltNova	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd408								SkillnameDireErid	SkillsdDireErid	SkillsdDireErid	SkillnameDireErid	StrSkill3																	1					12	DescDelayZ		50																						38	StrSkill18	StrSkill26	1	6	18	randomdur				18	DescBlank				18	DescItemSkill																																							0
sd409								SkillnameGreaterCharm	SkillsdGreaterCharm	SkillsdGreaterCharm	SkillnameGreaterCharm	StrSkill3																	1					12	DescDelayZ		125																						19	StrSkill18		3		12	StrSkill20		par3		18	DescBlank				18	DescItemSkill																																							0
sd410								SkillnameFlashCharm	SkillsdFlashCharm	SkillsdFlashCharm	SkillnameFlashCharm	StrSkill3																	1					12	DescDelayZ		25																						19	StrSkill18		12		12	StrSkill20		par3		18	DescBlank				18	DescItemSkill																																							0
sd411								SkillnameSpikeRipple	SkillsdSpikeRipple	SkillsdSpikeRipple	SkillnameSpikeRipple	StrSkill3	5																1					11					10					9					8																														40	Sksyn	SkillnameSpikeRipple	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd412								SkillnameATAura	SkillsdSecret	SkillsdSecret	SkillnameATAura																																																																																																							0
sd413								SkillnameArrow	SkillsdSecret	SkillsdSecret	SkillnameArrow																																																																																																							0
sd414								SkillnameCelerity	SkillsdSecret	SkillsdSecret	SkillnameCelerity																																																																																																							0
sd415								SkillnameClaw	SkillsdClawTZ	SkillsdClawTZ	SkillnameClaw	StrSkill3	5																1					3	DescBlank	DescTwisters	clc1																																					18	DescItemSkill																																							0
sd416								SkillnameDeathOfAGod	SkillsdSecret	SkillsdSecret	SkillanDeathOfAGod																																																																																																							0
sd417								SkillnameDSPR	SkillsdSecret	SkillsdSecret	SkillnameDSPR																																																																																																							0
sd418								SkillnameDeathStar	SkillsdSecret	SkillsdSecret	SkillnameDeathStar																																																																																																							0
sd419								SkillnameDBAura	SkillsdSecret	SkillsdSecret	SkillnameDBAura																																																																																																							0
sd420								SkillnameElementalRain	SkillsdSecret	SkillsdSecret	SkillnameElementalRain																																																																																																							0
sd421								SkillnameFireBarBolt	SkillsdFireBarBolt	SkillsdFireBarBolt	SkillnameFireBarBolt																																																																																																							0
sd422								SkillnameFirePrinz	SkillsdSecret	SkillsdSecret	SkillnameFirePrinz																																																																																																							0
sd423								SkillnameFlurry	SkillsdSecret	SkillsdSecret	SkillanFlurry																																																																																																							0
sd424								SkillnameFrogPrince	SkillsdSecret	SkillsdSecret	SkillnameFrogPrince																																																																																																							0
sd425								SkillnameAreaCel	SkillsdSecret	SkillsdSecret	SkillnameAreaCel																																																																																																							0
sd426								SkillnameAreaFire	SkillsdSecret	SkillsdSecret	SkillanAreaFire																																																																																																							0
sd427								SkillnameGiftOfShadows	SkillsdSecret	SkillsdSecret	SkillanGiftOfShadows																																																																																																							0
sd428								SkillnameGiftOfTW	SkillsdSecret	SkillsdSecret	SkillanGiftOfTW																																																																																																							0
sd429								SkillnameAreaV	SkillsdSecret	SkillsdSecret	SkillnameAreaV																																																																																																							0
sd430								SkillnameHammertime	SkillsdSecret	SkillsdSecret	SkillnameHammertime																																																																																																							0
sd431								SkillnameImmocopter	SkillsdSecret	SkillsdSecret	SkillnameImmocopter																																																																																																							0
sd432								SkillnameJavelin	SkillsdSecret	SkillsdSecret	SkillnameJavelin																																																																																																							0
sd433								SkillnameRustStorm	SkillsdSecret	SkillsdSecret	SkillnameRustStorm																																																																																																							0
sd434								SkillnameShadowstormZ	SkillsdSecret	SkillsdSecret	SkillnameShadowstormZ																																																																																																							0
sd435								SkillnameSlayerBolt	SkillsdSecret	SkillsdSecret	SkillnameSlayerBolt																																																																																																							0
sd436								SkillnameSpikeNova	SkillsdSecret	SkillsdSecret	SkillnameSpikeNova																																																																																																							0
sd437								SkillnameStaticTrap	SkillsdStaticTrap	SkillsdStaticTrap	SkillanStaticTrap	StrSkill3	5																1					11					10					9					8																				12	StrSkill20		250		18	DescItemSkill				40	Sksyn	SkillnameStaticTrap	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd438								SkillnameThunderH	SkillsdSecret	SkillsdSecret	SkillnameThunderH																																																																																																							0
sd439								SkillnameThunderW	SkillsdSecret	SkillsdSecret	SkillnameThunderW																																																																																																							0
sd440								SkillnameTKnife	SkillsdSecret	SkillsdSecret	SkillnameTKnife																																																																																																							0
sd441							1	SkillnameDarkSummon	SkillsdDarkSummon	SkillsdDarkSummon	SkillanDarkSummon	StrSkill3																	1					12	DescDelayZ		125																																					18	DescItemSkill																																							0
sd442							56	skillname123	skillxsd123	skillld123	skillan123																																																																																																							0
sd443	3	1	1	3		new skill	50	SkillnameSpellbind	SkillsdSpellbind2	SkillsdSpellbind2	SkillnameSpellbind	StrSkill3																	1					12	StrSkill20		(edmx*(100+stat('is409'.accr)))/100																						18	DescStonyGaze				12	DescDelayZ		max(259-(((220*(blvl+1))*(par8-par7))/(100*((blvl+1)+50))+par7),5)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-90)/6,15),2)+stat('is479'.accr)	40	SksynSelf	SkillnameSpellbind	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy				18	DescBlank				18	DescImmortalCrammed														0
sd444	3	1	1	3		lc2	58	SkillnameVampiricIcon	SkillsdVampiricIcon	SkillsdVampiricIcon	SkillnameVampiricIcon	StrSkill3																	1					38	DescSteals	DescTotalHP	25+(lvl-1)*15	50+(lvl-1)*30																					12	StrSkill20		125		12	DescDelayZ		(125*(100-((110*blvl)*(par6-par5))/(100*(blvl+6))))/100		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-90)/6,15),2)+stat('is479'.accr)	40	SksynSelf	SkillnameVampiricIcon	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy				18	DescBlank				18	DescImmortalCrammed														0
